# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-03-04T14:10
# UTM Zone,13N
# Easting,261641
# Northing,4198978
# Latitude,37.90714
# Longitude,-107.71121
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
172.0,162.0,176.0,205.0,NaN
162.0,152.0,227.0,217.0,NaN
152.0,142.0,248.0,254.0,NaN
142.0,132.0,307.0,313.0,NaN
132.0,122.0,331.0,331.0,NaN
122.0,112.0,318.0,324.0,NaN
112.0,102.0,365.0,363.0,NaN
102.0,92.0,350.0,351.0,NaN
92.0,82.0,374.0,369.0,NaN
82.0,72.0,361.0,362.0,NaN
72.0,62.0,360.0,378.0,NaN
62.0,52.0,366.0,372.0,NaN
52.0,42.0,404.0,382.0,NaN
42.0,32.0,417.0,415.0,NaN
32.0,22.0,415.0,400.0,NaN
22.0,12.0,353.0,366.0,NaN
