# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-03-04T14:10
# UTM Zone,13N
# Easting (m),261641
# Northing (m),4198978
# Latitude (deg),37.90714
# Longitude (deg),-107.71121
# Slope (deg),3
# Aspect (deg),83
# Air Temp (deg C),3.7
# Total Depth (cm),172
# Surveyors,"A. Gleason, M. Cecil, C. Smith, S. Englund"
# WISe Serial No,nan
# Weather,"Few clouds, warm, mostly clear"
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Light
# Ground Condition,Moist
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,15
# Tree Canopy,No Trees
# Comments:,Took extra photo to note dust layer at 122-115cm
