# Location,Grand Mesa
# Site,Skyway Open
# PitID,COGMSO
# Date/Local Time,2020-01-22T14:55
# UTM Zone,12N
# Easting (m),754270
# Northing (m),4325785
# Latitude (deg),39.04415
# Longitude (deg),-108.06202
# Slope (deg),0.5
# Aspect (deg),0
# Air Temp (deg C),-6
# Total Depth (cm),99
# Surveyors,J. Lund
# WISe Serial No,WIS009A
# Weather,"Cloudy, light breeze, cold."
# Precip,None
# Sky,Overcast(complete cover)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,10
# Tree Canopy,No Trees
# Comments:,nan
