# Location,Boise River Basin
# Site,Banner Open
# PitID,IDBRBO
# Date/Local Time,2020-02-27T12:40
# UTM Zone,11N
# Easting,640699
# Northing,4907213
# Latitude,44.30455
# Longitude,-115.23604
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
124.0,114.0,157.0,159.0,NaN
114.0,104.0,191.0,193.0,NaN
104.0,94.0,228.0,239.0,NaN
94.0,84.0,270.0,264.0,NaN
84.0,74.0,281.0,287.0,NaN
74.0,64.0,332.0,324.0,NaN
64.0,54.0,357.0,356.0,NaN
54.0,44.0,375.0,362.0,NaN
44.0,34.0,370.0,377.0,NaN
34.0,24.0,345.0,344.0,NaN
24.0,14.0,329.0,351.0,NaN
14.0,4.0,NaN,NaN,NaN
