# Location,Grand Mesa
# Site,County Line Tree
# PitID,COGMCT
# Date/Local Time,2020-03-25T13:30
# UTM Zone,12N
# Easting,756712
# Northing,4324540
# Latitude,39.03224
# Longitude,-108.03431
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
132.0,122.0,137.0,147.0,NaN
122.0,112.0,147.0,156.0,NaN
112.0,102.0,129.0,138.0,NaN
102.0,92.0,257.0,256.0,NaN
92.0,82.0,213.0,322.0,267.0
82.0,72.0,264.0,277.0,NaN
72.0,62.0,366.0,352.0,NaN
62.0,52.0,287.0,305.0,NaN
52.0,42.0,384.0,391.0,NaN
42.0,32.0,300.0,298.0,NaN
32.0,22.0,377.0,398.0,NaN
