# Location,Grand Mesa
# Site,County Line Tree
# PitID,COGMCT
# Date/Local Time,2020-03-25T13:30
# UTM Zone,12N
# Easting (m),756712
# Northing (m),4324540
# Latitude (deg),39.03224
# Longitude (deg),-108.03431
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-2.1
# Total Depth (cm),132
# Surveyors,J. Lund
# WISe Serial No,WIS009A
# Weather,"Mostly overcast, intermittent sun, gusty winds"
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Rugged
# Ground Vegetation,Deadfall
# Vegetation Depth,50
# Tree Canopy,Open (20-70%)
# Comments:,Temp start: 13:22. Temp stop: 13:32.
