# Location,CB
# Site,O2
# PitID,2
# Date/Local Time,2020-02-26T10:00
# UTM Zone,13N
# Easting,328520
# Northing,4310833
# Latitude,38.92967
# Longitude,-106.97829
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
130.0,120.0,122.0,127.0,NaN
120.0,110.0,202.0,194.0,NaN
110.0,100.0,240.0,243.0,NaN
100.0,90.0,280.0,287.0,NaN
90.0,80.0,273.0,286.0,NaN
80.0,70.0,295.0,318.0,NaN
70.0,60.0,313.0,308.0,NaN
60.0,50.0,307.0,338.0,297.0
50.0,40.0,403.0,390.0,NaN
40.0,30.0,335.0,347.0,NaN
30.0,20.0,349.0,327.0,NaN
20.0,10.0,325.0,351.0,NaN
10.0,0.0,293.0,NaN,NaN
