# Location,Grand Mesa
# Site,Skyway Open
# PitID,COGMSO
# Date/Local Time,2020-03-28T17:30
# UTM Zone,12N
# Easting,754270
# Northing,4325785
# Latitude,39.04415
# Longitude,-108.06202
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
147.0,137.0,76.5,1.041,1.03,0.0,0.0
137.0,127.0,192.0,1.329,1.391,0.31423522183877006,0.6284800907001525
127.0,117.0,301.5,1.18,1.157,0.0,0.0
117.0,107.0,194.5,1.068,1.059,0.0,0.0
107.0,97.0,231.5,1.192,1.191,0.0,0.0
97.0,87.0,319.0,1.178,1.192,0.0,0.0
87.0,77.0,346.5,1.29,1.308,0.0,0.0
77.0,67.0,349.0,1.34,1.26,0.0,0.0
67.0,57.0,341.0,1.309,1.314,0.0,0.0
57.0,47.0,293.5,1.236,1.237,0.0,0.0
47.0,37.0,315.0,1.212,1.212,0.0,0.0
37.0,27.0,271.5,1.206,1.199,0.0,0.0
27.0,17.0,289.5,1.257,1.239,0.0,0.0
17.0,7.0,261.5,1.186,1.192,0.0,0.0
