# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-03-05T12:30
# UTM Zone,12N
# Easting (m),446048
# Northing (m),4493579
# Latitude (deg),40.59125
# Longitude (deg),-111.63759
# Slope (deg),0
# Aspect (deg),180
# Air Temp (deg C),7.4
# Total Depth (cm),250
# Surveyors,"M. Olson, M. Skiles, S. Clark"
# WISe Serial No,nan
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,surface temp 0.4 *C
