# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-01-31T13:30
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
111.0,101.0,173.0,185.0,NaN
101.0,91.0,164.0,174.0,NaN
91.0,81.0,209.0,206.0,NaN
81.0,71.0,239.0,185.0,187.0
71.0,61.0,286.0,249.0,NaN
61.0,51.0,302.0,284.0,NaN
51.0,41.0,316.0,284.0,NaN
41.0,31.0,319.0,322.0,NaN
31.0,21.0,312.0,330.0,NaN
21.0,11.0,310.0,306.0,NaN
13.0,3.0,335.0,NaN,NaN
