# Location,Niwot Ridge
# Site,Saddle
# PitID,CONWSA
# Date/Local Time,2020-02-05T11:45
# UTM Zone,13N
# Easting (m),449623
# Northing (m),4434025
# Latitude (deg),40.05497
# Longitude (deg),-105.59065
# Slope (deg),0
# Aspect (deg),90
# Air Temp (deg C),-18
# Total Depth (cm),32
# Surveyors,"S. Ciafone, M. Flynn, Z. Avejan"
# WISe Serial No,nan
# Weather,"clear, very cold! 15-20mph wind blowing E IB: storm board blew over since last week; PD: sketch of plot perimeter measurements on data sheet"
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,nan
