# Location,CB
# Site,F14
# PitID,3
# Date/Local Time,2020-02-26T10:40
# UTM Zone,13N
# Easting (m),328559
# Northing (m),4310733
# Latitude (deg),38.92878
# Longitude (deg),-106.97781
# Slope (deg),0
# Aspect (deg),0
# Air Temp (deg C),-12.1
# Total Depth (cm),81
# Surveyors,HB
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,25
# Tree Canopy,Open (20-70%)
# Comments:,nan
