# Location,CB
# Site,Trench13NorthOpen
# PitID,1
# Date/Local Time,2020-02-02T00:00
# UTM Zone,13N
# Easting,328570
# Northing,4310779
# Latitude,38.9292
# Longitude,-106.9777
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
82.0,72.0,183.0,196.0,NaN
72.0,62.0,235.0,260.0,NaN
62.0,52.0,267.0,270.0,NaN
52.0,42.0,294.0,302.0,NaN
42.0,32.0,308.0,300.0,NaN
32.0,22.0,NaN,NaN,NaN
22.0,12.0,NaN,NaN,NaN
