# Location,CB
# Site,Trench13NorthOpen
# PitID,1
# Date/Local Time,2020-02-02T00:00
# UTM Zone,13N
# Easting,328570
# Northing,4310779
# Latitude,38.9292
# Longitude,-106.9777
# Depth (cm),Temperature (deg C)
82.0,-2.6
80.0,-3.2
70.0,-5.3
60.0,-5.2
50.0,-4.6
40.0,-4.1
30.0,-3.2
20.0,-2.9
10.0,-2.1
0.0,-0.7
