# Location,Boise River Basin
# Site,Banner Open
# PitID,IDBRBO
# Date/Local Time,2020-02-19T12:22
# UTM Zone,11N
# Easting,640699
# Northing,4907213
# Latitude,44.30455
# Longitude,-115.23604
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
132.0,122.0,128.0,108.0,108.0
122.0,112.0,162.0,160.0,NaN
112.0,102.0,200.0,183.0,NaN
102.0,92.0,234.0,227.0,NaN
92.0,82.0,257.0,258.0,NaN
82.0,72.0,263.0,285.0,NaN
72.0,62.0,309.0,323.0,NaN
62.0,52.0,347.0,354.0,NaN
52.0,42.0,364.0,360.0,NaN
42.0,32.0,371.0,369.0,NaN
32.0,22.0,337.0,335.0,NaN
22.0,12.0,346.0,321.0,NaN
12.0,2.0,NaN,NaN,NaN
