# Location,Cameron Pass
# Site,Joe Wright
# PitID,COCPJW
# Date/Local Time,2019-12-18T11:25
# UTM Zone,13N
# Easting,424321
# Northing,4486308
# Latitude,40.52405
# Longitude,-105.89345
# Count,HS (cm)
1,72
2,NaN
3,71
4,74
5,68
6,67
7,72
8,73
9,NaN
