# Location,CB
# Site,Upper
# PitID,2
# Date/Local Time,2020-02-02T11:20
# UTM Zone,13N
# Easting (m),327520
# Northing (m),4311258
# Latitude (deg),38.9333
# Longitude (deg),-106.98992
# Slope (deg),0
# Aspect (deg),W
# Air Temp (deg C),2.1
# Total Depth (cm),83
# Surveyors,"AK, GC"
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,7
# Tree Canopy,No Trees
# Comments:,Elevation: 3404m
