# Location,Fraser
# Site,JPL #2
# PitID,COFEJ2
# Date/Local Time,2019-10-29T12:54
# UTM Zone,13N
# Easting (m),424573
# Northing (m),4417710
# Latitude (deg),39.90612
# Longitude (deg),-105.88242
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),NaN
# Total Depth (cm),25
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,Snowing at a rate of ~1cm/hr
# Precip,Very Light
# Sky,Overcast(complete cover)
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,15
# Tree Canopy,No Trees
# Comments:,"Lots of grass  Soil moisture: Delta-T, Probe A: 8.6%, 8.4%, 8.8%"
