# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-02-26T14:44
# UTM Zone,13N
# Easting (m),261641
# Northing (m),4198978
# Latitude (deg),37.90714
# Longitude (deg),-107.71121
# Slope (deg),3
# Aspect (deg),65
# Air Temp (deg C),-4.7
# Total Depth (cm),172
# Surveyors,"A. Gleason, M. Cecil, C. Smith, S. Englund"
# WISe Serial No,nan
# Weather,"Mid-altitude clouds building to the north, light winds N 5-10 mph;  IB: SWE tube spring scale malfunction"
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,7
# Tree Canopy,No Trees
# Comments:,nan
