# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-02-26T14:44
# UTM Zone,13N
# Easting,261641
# Northing,4198978
# Latitude,37.90714
# Longitude,-107.71121
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
172.0,162.0,139.5,NaN,NaN,NaN,NaN
162.0,152.0,156.0,NaN,NaN,NaN,NaN
152.0,142.0,210.0,NaN,NaN,NaN,NaN
142.0,132.0,257.0,NaN,NaN,NaN,NaN
132.0,122.0,298.0,NaN,NaN,NaN,NaN
122.0,112.0,302.0,NaN,NaN,NaN,NaN
112.0,102.0,309.0,NaN,NaN,NaN,NaN
102.0,92.0,346.5,NaN,NaN,NaN,NaN
92.0,82.0,341.0,NaN,NaN,NaN,NaN
82.0,72.0,354.5,NaN,NaN,NaN,NaN
72.0,62.0,354.0,NaN,NaN,NaN,NaN
62.0,52.0,353.0,NaN,NaN,NaN,NaN
52.0,42.0,354.0,NaN,NaN,NaN,NaN
42.0,32.0,392.0,NaN,NaN,NaN,NaN
32.0,22.0,413.0,NaN,NaN,NaN,NaN
22.0,12.0,403.5,NaN,NaN,NaN,NaN
12.0,2.0,334.5,NaN,NaN,NaN,NaN
