# Location,Little Cottonwood
# Site,Alta Collins
# PitID,UTLCAC
# Date/Local Time,2020-03-12T10:30
# UTM Zone,12N
# Easting (m),446677
# Northing (m),4491448
# Latitude (deg),40.5721
# Longitude (deg),-111.62997
# Slope (deg),0
# Aspect (deg),0
# Air Temp (deg C),-7
# Total Depth (cm),240
# Surveyors,"S. Clark, M. Olson"
# WISe Serial No,nan
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,nan
