# Location,Cameron Pass
# Site,Michigan River
# PitID,COCPMR
# Date/Local Time,2020-01-24T11:15
# UTM Zone,13N
# Easting (m),424441
# Northing (m),4485707
# Latitude (deg),40.51865
# Longitude (deg),-105.89196
# Slope (deg),5
# Aspect (deg),135
# Air Temp (deg C),-2.8
# Total Depth (cm),65
# Surveyors,"E. Bump, A. Olsen"
# WISe Serial No,nan
# Weather,"Clouds starting to break, broken by end of measurements"
# Precip,None
# Sky,Overcast(complete cover)
# Wind,Light
# Ground Condition,Saturated
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,10
# Tree Canopy,No Trees
# Comments:,Did not perform manual wetness test
