# Location,CB
# Site,F14
# PitID,3
# Date/Local Time,2020-02-01T13:50
# UTM Zone,13N
# Easting (m),328579
# Northing (m),4310749
# Latitude (deg),38.92893
# Longitude (deg),-106.97759
# Slope (deg),0
# Aspect (deg),E
# Air Temp (deg C),-1.2
# Total Depth (cm),89
# Surveyors,"GC, MR"
# Weather,nan
# Precip,None
# Sky,Overcast(complete cover)
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,20
# Tree Canopy,Closed (>70%)
# Comments:,Elevation:3139
