# Location,CB
# Site,F13
# PitID,2
# Date/Local Time,2020-02-26T11:30
# UTM Zone,13N
# Easting,328564
# Northing,4310799
# Latitude,38.92938
# Longitude,-106.97777
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
109.0,99.0,141.0,128.0,NaN
99.0,89.0,194.0,206.0,NaN
89.0,79.0,255.0,245.0,NaN
79.0,69.0,277.0,265.0,NaN
69.0,59.0,318.0,311.0,NaN
59.0,49.0,285.0,300.0,NaN
49.0,39.0,323.0,319.0,NaN
39.0,29.0,327.0,338.0,NaN
29.0,19.0,294.0,327.0,307.0
19.0,9.0,315.0,295.0,NaN
