# Location,Sagehen
# Site,Open
# PitID,CASHOP
# Date/Local Time,2020-02-26T10:16
# UTM Zone,10N
# Easting (m),737572
# Northing (m),4368173
# Latitude (deg),39.43037
# Longitude (deg),-120.23982
# Slope (deg),4
# Aspect (deg),176
# Air Temp (deg C),6.6
# Total Depth (cm),31
# Surveyors,"G. Sterle,  H. Middleton"
# WISe Serial No,WIS0101A
# Weather,"clear skies, calm"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,"Layer at 11-1cm was icy, making it difficult to obtain a full sample"
