# Location,Boise River Basin
# Site,Banner Open
# PitID,IDBRBO
# Date/Local Time,2020-02-13T12:30
# UTM Zone,11N
# Easting (m),640699
# Northing (m),4907213
# Latitude (deg),44.30455
# Longitude (deg),-115.23604
# Slope (deg),4
# Aspect (deg),NaN
# Air Temp (deg C),0.9
# Total Depth (cm),128
# Surveyors,"T. Otheim, I. Brangers"
# WISe Serial No,WIS007A
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,10
# Tree Canopy,No Trees
# Comments:,"LWC 8-1cm: not perfectly sampled at 3cm height, but close (+/-3cm)."
