# Location,Grand Mesa
# Site,Skyway Tree
# PitID,COGMST
# Date/Local Time,2020-03-28T15:30
# UTM Zone,12N
# Easting (m),754171
# Northing (m),4325869
# Latitude (deg),39.04494
# Longitude (deg),-108.06313
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),NaN
# Total Depth (cm),132
# Surveyors,J. Lund
# WISe Serial No,WIS009A
# Weather,"Overcast, calm. Sometimes sunlight shines through clouds. "
# Precip,Very Light
# Sky,Overcast(complete cover)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,"Bare,Grass,Shrub"
# Vegetation Depth,"10,15"
# Tree Canopy,Open (20-70%)
# Comments:,"Temp start: 15:19.  Temp stop: 15:29.  New snow from last night / this
morning has consolidated."
