# Location,Fraser
# Site,SNB #2
# PitID,COFEB2
# Date/Local Time,2019-12-19T15:10
# UTM Zone,13N
# Easting (m),424863
# Northing (m),4417808
# Latitude (deg),39.90703
# Longitude (deg),-105.87904
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-5.5
# Total Depth (cm),59
# Surveyors,"C. Quant, B. Droll "
# WISe Serial No,nan
# Weather,nan
# Precip,None
# Sky,Overcast(complete cover)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,Open (20-70%)
# Comments:,"Soil moisture - Delta-T Unit A  10.1%, 7.9%, 9.9%"
