# Location,Grand Mesa
# Site,County Line Tree
# PitID,COGMCT
# Date/Local Time,2020-03-18T11:05
# UTM Zone,12N
# Easting,756712
# Northing,4324540
# Latitude,39.03224
# Longitude,-108.03431
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
109.0,99.0,190.0,190.0,NaN
99.0,89.0,203.0,198.0,NaN
89.0,79.0,242.0,250.0,NaN
79.0,69.0,274.0,269.0,NaN
69.0,59.0,308.0,315.0,NaN
59.0,49.0,296.0,301.0,NaN
49.0,39.0,308.0,301.0,NaN
39.0,29.0,295.0,290.0,NaN
29.0,19.0,321.0,314.0,NaN
19.0,9.0,296.0,294.0,NaN
