# Location,Grand Mesa
# Site,County Line Tree
# PitID,COGMCT
# Date/Local Time,2020-03-18T11:05
# UTM Zone,12N
# Easting (m),756712
# Northing (m),4324540
# Latitude (deg),39.03224
# Longitude (deg),-108.03431
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-3.7
# Total Depth (cm),109
# Surveyors,J. Lund
# WISe Serial No,WIS009A
# Weather,"Light snow, moderate wind, overcast but some sun shining through. Precip=Snow"
# Precip,Very Light
# Sky,Overcast(complete cover)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Rugged
# Ground Vegetation,Deadfall
# Vegetation Depth,25
# Tree Canopy,Open (20-70%)
# Comments:,Temp start: 10:57. Temp stop: 11:04.  Tree below 9cm at bottom of pit.
