# Location,Jemez River
# Site,BA Flux Tower
# PitID,NMJRBA
# Date/Local Time,2020-02-20T12:34
# UTM Zone,13N
# Easting (m),361740
# Northing (m),3972675
# Latitude (deg),35.88859
# Longitude (deg),-106.53184
# Slope (deg),6
# Aspect (deg),134
# Air Temp (deg C),-1.1
# Total Depth (cm),80
# Surveyors,M. Schlumpf
# WISe Serial No,nan
# Weather,"Calm, clear; very sunny and warm"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,3-7
# Tree Canopy,No Trees
# Comments:,nan
