# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-03-12T13:48
# UTM Zone,12N
# Easting,446048
# Northing,4493579
# Latitude,40.59125
# Longitude,-111.63759
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
238.0,228.0,238.0,266.0,NaN
230.0,220.0,327.0,NaN,NaN
220.0,210.0,388.0,NaN,NaN
210.0,200.0,346.0,NaN,NaN
200.0,190.0,340.0,NaN,NaN
190.0,180.0,352.0,NaN,NaN
180.0,170.0,380.0,NaN,NaN
170.0,160.0,448.0,NaN,NaN
160.0,150.0,435.0,NaN,NaN
150.0,140.0,402.0,NaN,NaN
140.0,130.0,404.0,NaN,NaN
130.0,120.0,397.0,NaN,NaN
120.0,110.0,443.0,NaN,NaN
110.0,100.0,427.0,NaN,NaN
100.0,90.0,444.0,NaN,NaN
90.0,80.0,435.0,NaN,NaN
80.0,70.0,446.0,NaN,NaN
70.0,60.0,440.0,NaN,NaN
60.0,50.0,454.0,NaN,NaN
50.0,40.0,449.0,NaN,NaN
40.0,30.0,441.0,NaN,NaN
30.0,20.0,456.0,NaN,NaN
20.0,10.0,470.0,NaN,NaN
10.0,0.0,461.0,NaN,NaN
