# Location,Mammoth Lakes
# Site,CUES Study Plot
# PitID,CAMLCP
# Date/Local Time,2020-02-06T13:35
# UTM Zone,11N
# Easting (m),320985
# Northing (m),4168170
# Latitude (deg),37.64325
# Longitude (deg),-119.02906
# Slope (deg),2
# Aspect (deg),330
# Air Temp (deg C),3.5
# Total Depth (cm),74
# Surveyors,N. Bair
# WISe Serial No,WIS008A
# Weather,"Sunny, warm, light winds, clear skies"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,"Strong & difficult to cut lower snowpack. Really struggled with the
density cutter towards the bottom. Warm day, surface melting.  CO2:
432 ppm (higher than normal).  Lower than normal ground temp."
