# Location,Cameron Pass
# Site,Joe Wright
# PitID,COCPJW
# Date/Local Time,2020-01-31T10:00
# UTM Zone,13N
# Easting (m),424321
# Northing (m),4486308
# Latitude (deg),40.52405
# Longitude (deg),-105.89345
# Slope (deg),4
# Aspect (deg),45
# Air Temp (deg C),-9
# Total Depth (cm),103.5
# Surveyors,C. Duncan
# WISe Serial No,nan
# Weather,high cirrus clouds
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,1-5
# Tree Canopy,No Trees
# Comments:,nan
