# Location,CB
# Site,F13
# PitID,2
# Date/Local Time,2020-04-28T12:45
# UTM Zone,13N
# Easting,328572
# Northing,4310803
# Latitude,38.92941
# Longitude,-106.97768
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
100.0,90.0,385.0,380.0,NaN
90.0,80.0,414.0,394.0,NaN
80.0,70.0,363.0,381.0,NaN
70.0,60.0,416.0,394.0,NaN
60.0,50.0,365.0,365.0,NaN
50.0,40.0,342.0,340.0,NaN
40.0,30.0,360.0,366.0,NaN
30.0,20.0,354.0,356.0,NaN
20.0,10.0,378.0,364.0,NaN
10.0,0.0,318.0,317.0,NaN
