# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-02-12T12:36
# UTM Zone,13N
# Easting,261641
# Northing,4198978
# Latitude,37.90714
# Longitude,-107.71121
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
171.0,161.0,97.0,88.0,NaN
161.0,151.0,156.0,145.0,NaN
151.0,141.0,189.0,185.0,NaN
141.0,131.0,194.0,186.0,NaN
131.0,121.0,247.0,238.0,NaN
121.0,111.0,271.0,238.0,NaN
111.0,101.0,289.0,283.0,NaN
101.0,91.0,317.0,314.0,NaN
91.0,81.0,307.0,300.0,NaN
81.0,71.0,335.0,317.0,NaN
71.0,61.0,336.0,325.0,NaN
61.0,51.0,348.0,338.0,NaN
51.0,41.0,350.0,343.0,NaN
41.0,31.0,378.0,370.0,NaN
31.0,21.0,376.0,384.0,NaN
21.0,11.0,368.0,383.0,NaN
11.0,1.0,295.0,305.0,NaN
