# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-02-12T12:36
# UTM Zone,13N
# Easting,261641
# Northing,4198978
# Latitude,37.90714
# Longitude,-107.71121
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
171.0,161.0,92.5,NaN,NaN,NaN,NaN
161.0,151.0,150.5,NaN,NaN,NaN,NaN
151.0,141.0,187.0,NaN,NaN,NaN,NaN
141.0,131.0,190.0,NaN,NaN,NaN,NaN
131.0,121.0,242.5,NaN,NaN,NaN,NaN
121.0,111.0,254.5,NaN,NaN,NaN,NaN
111.0,101.0,286.0,NaN,NaN,NaN,NaN
101.0,91.0,315.5,NaN,NaN,NaN,NaN
91.0,81.0,303.5,NaN,NaN,NaN,NaN
81.0,71.0,326.0,NaN,NaN,NaN,NaN
71.0,61.0,330.5,NaN,NaN,NaN,NaN
61.0,51.0,343.0,NaN,NaN,NaN,NaN
51.0,41.0,346.5,NaN,NaN,NaN,NaN
41.0,31.0,374.0,NaN,NaN,NaN,NaN
31.0,21.0,380.0,NaN,NaN,NaN,NaN
21.0,11.0,375.5,NaN,NaN,NaN,NaN
11.0,1.0,300.0,NaN,NaN,NaN,NaN
