# Location,NW
# Site,FS
# PitID,2
# Date/Local Time,2020-03-11T10:45
# UTM Zone,13N
# Easting (m),328389
# Northing (m),4310494
# Latitude (deg),38.92659
# Longitude (deg),-106.97971
# Slope (deg),5
# Aspect (deg),NaN
# Air Temp (deg C),-0.1
# Total Depth (cm),99
# Surveyors,HB
# Weather,nan
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Strong
# Ground Condition,Moist
# Ground Roughness,Rough
# Ground Vegetation,"Grass,Shrub,Deadfall"
# Vegetation Depth,30
# Tree Canopy,Open (20-70%)
# Comments:,Tare 768g
