# Location,CB
# Site,F12
# PitID,1
# Date/Local Time,2020-05-12T09:00
# UTM Zone,13N
# Easting (m),328519
# Northing (m),4310837
# Latitude (deg),38.92971
# Longitude (deg),-106.9783
# Slope (deg),10
# Aspect (deg),61
# Air Temp (deg C),5.5
# Total Depth (cm),50
# Surveyors,IH
# Weather,nan
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,5
# Tree Canopy,Closed (>70%)
# Comments:,"Elev: 10,350"
