# Location,NW
# Site,FS
# PitID,1
# Date/Local Time,2020-01-22T14:05
# UTM Zone,13N
# Easting (m),452468
# Northing (m),4432364
# Latitude (deg),40.04017
# Longitude (deg),-105.55717
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),-4.7
# Total Depth (cm),79
# Surveyors,"HB, AK"
# Weather,nan
# Precip,Light
# Sky,Overcast(complete cover)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,Open (20-70%)
# Comments:,"787 tare, 3179 ele"
