# Location,Mammoth Lakes
# Site,CUES Study Plot
# PitID,CAMLCP
# Date/Local Time,2020-02-19T10:05
# UTM Zone,11N
# Easting (m),320985
# Northing (m),4168170
# Latitude (deg),37.64325
# Longitude (deg),-119.02906
# Slope (deg),2
# Aspect (deg),330
# Air Temp (deg C),-2
# Total Depth (cm),81
# Surveyors,"N. Bair, J. Feinberg, C. Older"
# WISe Serial No,nan
# Weather,"Sunny, light winds, seasonal temps"
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,"Bare,Shrub"
# Vegetation Depth,5
# Tree Canopy,No Trees
# Comments:,CO2 = 402ppm
