# Location,CB
# Site,Upper
# PitID,3
# Date/Local Time,2020-04-29T11:30
# UTM Zone,13N
# Easting,327509
# Northing,4311262
# Latitude,38.93334
# Longitude,-106.99005
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
130.0,120.0,398.0,425.0,NaN
120.0,110.0,416.0,407.0,NaN
110.0,100.0,361.0,368.0,NaN
100.0,90.0,385.0,388.0,NaN
90.0,80.0,370.0,371.0,NaN
80.0,70.0,360.0,380.0,NaN
70.0,60.0,356.0,333.0,NaN
60.0,50.0,366.0,366.0,NaN
50.0,40.0,381.0,366.0,NaN
40.0,30.0,375.0,378.0,NaN
30.0,20.0,374.0,359.0,NaN
20.0,10.0,331.0,329.0,NaN
10.0,0.0,310.0,302.0,NaN
