# Location,Jemez River
# Site,BA Flux Tower
# PitID,NMJRBA
# Date/Local Time,2020-02-05T11:14
# UTM Zone,13N
# Easting,361740
# Northing,3972675
# Latitude,35.88859
# Longitude,-106.53184
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
90.0,80.0,218.0,210.0,NaN
80.0,70.0,239.0,266.0,NaN
70.0,60.0,297.0,281.0,NaN
60.0,50.0,304.0,309.0,NaN
50.0,40.0,302.0,341.0,NaN
40.0,30.0,308.0,316.0,NaN
30.0,20.0,290.0,317.0,NaN
20.0,10.0,321.0,320.0,NaN
13.0,3.0,326.0,326.0,NaN
