# Location,Sagehen
# Site,Open
# PitID,CASHOP
# Date/Local Time,2020-03-11T09:50
# UTM Zone,10N
# Easting (m),737572
# Northing (m),4368173
# Latitude (deg),39.43037
# Longitude (deg),-120.23982
# Slope (deg),4
# Aspect (deg),176
# Air Temp (deg C),5.4
# Total Depth (cm),20
# Surveyors,"H. Middleton, J. Tarricone"
# WISe Serial No,WIS0101A
# Weather,"clear, calm, warming up"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,nan
