# Location,Grand Mesa
# Site,County Line Tree
# PitID,COGMCT
# Date/Local Time,2019-12-19T14:20
# UTM Zone,12N
# Easting (m),756712
# Northing (m),4324540
# Latitude (deg),39.03224
# Longitude (deg),-108.03431
# Slope (deg),0
# Aspect (deg),0
# Air Temp (deg C),NaN
# Total Depth (cm),52
# Surveyors,J. Lund
# WISe Serial No,WIS009A
# Weather,"Clear sky, calm"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rugged
# Ground Vegetation,"Shrub,Deadfall"
# Vegetation Depth,"20,20-30"
# Tree Canopy,Closed (>70%)
# Comments:,nan
