# Location,American
# Site,Caples Lake
# PitID,CAAMCL
# Date/Local Time,2020-02-21T12:00
# UTM Zone,10N
# Easting,757217
# Northing,4288782
# Latitude,38.71029
# Longitude,-120.04186
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
117.0,111.0,4-6 mm,RG,P,W,Ice lens at 112 cm
111.0,89.0,< 1 mm,MF,4F,D,Ice lens at 96 cm and 90 cm
89.0,63.0,1-2 mm,MF,1F,D,Ice lens at 77 cm
63.0,56.0,2-4 mm,RG,1F,W,NaN
56.0,46.0,1-2 mm,MF,P,D,NaN
46.0,41.0,2-4 mm,RG,K,M,NaN
41.0,0.0,1-2 mm,MF,K,M,NaN
