# Location,Grand Mesa
# Site,Skyway Tree
# PitID,COGMST
# Date/Local Time,2020-02-12T14:30
# UTM Zone,12N
# Easting (m),754171
# Northing (m),4325869
# Latitude (deg),39.04494
# Longitude (deg),-108.06313
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),NaN
# Total Depth (cm),80
# Surveyors,C. Hiemstra
# WISe Serial No,WIS009A
# Weather,"Sunny, broken sky/clouds, periodic snow squalls. Increasing wind"
# Precip,Very Light
# Sky,Broken (> 1/2 of sky)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,Closed (>70%)
# Comments:,Under fir and spruce trees temp start: 14:55 temp end: 15:10
