# Location,Grand Mesa
# Site,Skyway Tree
# PitID,COGMST
# Date/Local Time,2020-02-12T14:30
# UTM Zone,12N
# Easting,754171
# Northing,4325869
# Latitude,39.04494
# Longitude,-108.06313
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
80.0,77.0,2-4 mm,PP,F,D,Nice Dendrites
77.0,71.0,< 1 mm,DF,F,D,NaN
71.0,65.0,< 1 mm,RG,4F,D,NaN
65.0,63.0,< 1 mm,MFCR,1F,D,This layer is melt crust and is hard for cutter to sample
63.0,47.0,< 1 mm,RG,1F,D,NaN
47.0,20.0,1-2 mm,FC,1F,D,NaN
20.0,8.0,1-2 mm,FC,1F,D,NaN
8.0,0.0,1-2 mm,FC,P,D,This layer is hard and icy
