# Location,Sagehen
# Site,Forest
# PitID,CASHFO
# Date/Local Time,2020-02-19T10:00
# UTM Zone,10N
# Easting (m),737378
# Northing (m),4368076
# Latitude (deg),39.42955
# Longitude (deg),-120.24211
# Slope (deg),8.6
# Aspect (deg),324
# Air Temp (deg C),1.1
# Total Depth (cm),38
# Surveyors,"A. Greenwald, L. Katz"
# WISe Serial No,WIS010A
# Weather,"clear, calm, sunny (blue bird)"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,True
# Tree Canopy,Open (20-70%)
# Comments:,Variable pit depth
