# Location,NW
# Site,FN
# PitID,1
# Date/Local Time,2020-03-11T11:00
# UTM Zone,13N
# Easting (m),452778
# Northing (m),4431584
# Latitude (deg),40.03316
# Longitude (deg),-105.55348
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),NaN
# Total Depth (cm),105
# Surveyors,"AM, ES"
# Weather,nan
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Deadfall
# Vegetation Depth,
# Tree Canopy,Closed (>70%)
# Comments:,3114 m elevation
