# Location,NW
# Site,FN
# PitID,1
# Date/Local Time,2020-03-11T11:00
# UTM Zone,13N
# Easting,452778
# Northing,4431584
# Latitude,40.03316
# Longitude,-105.55348
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
105.0,95.0,141.0,137.0,NaN
95.0,85.0,237.0,233.0,NaN
85.0,75.0,268.0,269.0,NaN
75.0,65.0,302.0,298.0,NaN
65.0,55.0,267.0,286.0,283.0
55.0,45.0,290.0,261.0,250.0
45.0,35.0,275.0,277.0,NaN
35.0,25.0,291.0,281.0,NaN
25.0,15.0,281.0,277.0,NaN
15.0,5.0,301.0,297.0,NaN
