# Location,Grand Mesa
# Site,Skyway Open
# PitID,COGMSO
# Date/Local Time,2020-02-19T13:40
# UTM Zone,12N
# Easting (m),754270
# Northing (m),4325785
# Latitude (deg),39.04415
# Longitude (deg),-108.06202
# Slope (deg),4
# Aspect (deg),135
# Air Temp (deg C),NaN
# Total Depth (cm),109
# Surveyors,C. Green
# WISe Serial No,WIS009A
# Weather,"IB: little snow, very variable."
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,12
# Tree Canopy,No Trees
# Comments:,Got new scale from the one used in County Line Trees
