# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-02-26T14:45
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
134.0,124.0,280.0,241.0,237.0
124.0,114.0,294.0,275.0,NaN
114.0,104.0,346.0,326.0,NaN
104.0,94.0,289.0,289.0,NaN
94.0,84.0,321.0,309.0,NaN
84.0,74.0,309.0,310.0,NaN
74.0,64.0,329.0,336.0,NaN
64.0,54.0,376.0,351.0,NaN
54.0,44.0,372.0,378.0,NaN
44.0,34.0,400.0,384.0,NaN
34.0,24.0,348.0,352.0,NaN
24.0,14.0,349.0,340.0,NaN
14.0,4.0,NaN,NaN,NaN
