# Location,Mammoth Lakes
# Site,CUES Study Plot
# PitID,CAMLCP
# Date/Local Time,2020-01-29T09:50
# UTM Zone,11N
# Easting (m),320985
# Northing (m),4168170
# Latitude (deg),37.64325
# Longitude (deg),-119.02906
# Slope (deg),3
# Aspect (deg),330
# Air Temp (deg C),-4
# Total Depth (cm),68
# Surveyors,"N. Bair, S. Tillinger"
# WISe Serial No,nan
# Weather,"sunny, clear, lt winds, cold IB: melt on surface only"
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,CO2 at pit = 263ppm
