# Location,Grand Mesa
# Site,County Line Tree
# PitID,COGMCT
# Date/Local Time,2020-03-12T11:30
# UTM Zone,12N
# Easting,756712
# Northing,4324540
# Latitude,39.03224
# Longitude,-108.03431
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
112.0,102.0,106.0,103.0,NaN
102.0,92.0,215.0,213.0,NaN
92.0,82.0,257.0,268.0,NaN
82.0,72.0,294.0,283.0,NaN
72.0,62.0,330.0,337.0,NaN
62.0,52.0,304.0,300.0,NaN
52.0,42.0,276.0,300.0,290.0
42.0,32.0,288.0,286.0,NaN
32.0,22.0,340.0,331.0,NaN
22.0,12.0,301.0,298.0,NaN
15.0,5.0,296.0,NaN,NaN
