# Location,American
# Site,Caples Lake
# PitID,CAAMCL
# Date/Local Time,2020-01-31T12:15
# UTM Zone,10N
# Easting,757217
# Northing,4288782
# Latitude,38.71029
# Longitude,-120.04186
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
135.0,125.0,280.0,263.0,272.0
125.0,115.0,235.0,237.0,NaN
115.0,105.0,268.0,255.0,NaN
105.0,95.0,286.0,289.0,NaN
95.0,85.0,315.0,327.0,NaN
85.0,75.0,353.0,347.0,NaN
75.0,65.0,357.0,340.0,NaN
65.0,55.0,359.0,376.0,375.0
55.0,45.0,379.0,372.0,NaN
45.0,35.0,392.0,385.0,NaN
35.0,25.0,396.0,403.0,NaN
20.0,10.0,424.0,418.0,NaN
