# Location,Jemez River
# Site,BA Flux Tower
# PitID,NMJRBA
# Date/Local Time,2020-01-29T11:19
# UTM Zone,13N
# Easting (m),361740
# Northing (m),3972675
# Latitude (deg),35.88859
# Longitude (deg),-106.53184
# Slope (deg),7
# Aspect (deg),110
# Air Temp (deg C),-0.1
# Total Depth (cm),90
# Surveyors,M. Schlumpf
# WISe Serial No,nan
# Weather,"Calm winds, broken cloud cover. Transitioning to afternoon storm and overcast. Tree canopy note: burned forest area"
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,2.5-5
# Tree Canopy,No Trees
# Comments:,Ice vein in sample (density 13-3)
