# Location,Grand Mesa
# Site,County Line Open
# PitID,COGMCO
# Date/Local Time,2020-02-12T08:52
# UTM Zone,12N
# Easting (m),756903
# Northing (m),4324357
# Latitude (deg),39.03053
# Longitude (deg),-108.03217
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),NaN
# Total Depth (cm),103
# Surveyors,C. Hiemstra
# WISe Serial No,WIS009A
# Weather,"Light snow, occasional wind, big dendrites of snow. Precip=Snow"
# Precip,Light
# Sky,Overcast(complete cover)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,8
# Tree Canopy,No Trees
# Comments:,"Temp start: 9:06 Temp end: 9:15 Rocky at bottom, difficult to sample"
