# Location,Grand Mesa
# Site,County Line Open
# PitID,COGMCO
# Date/Local Time,2020-02-12T08:52
# UTM Zone,12N
# Easting,756903
# Northing,4324357
# Latitude,39.03053
# Longitude,-108.03217
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
103.0,93.0,154.0,150.0,NaN
93.0,83.0,215.0,225.0,NaN
83.0,73.0,282.0,281.0,NaN
73.0,63.0,264.0,265.0,NaN
63.0,53.0,296.0,301.0,NaN
53.0,43.0,282.0,256.0,NaN
43.0,33.0,298.0,322.0,NaN
33.0,23.0,283.0,312.0,NaN
23.0,13.0,308.0,319.0,NaN
13.0,3.0,251.0,308.0,NaN
