# Location,Fraser
# Site,JPL #2
# PitID,COFEJ2
# Date/Local Time,2020-02-10T13:45
# UTM Zone,13N
# Easting,424573
# Northing,4417710
# Latitude,39.90612
# Longitude,-105.88242
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
121.0,111.0,45.0,46.0,NaN
111.0,101.0,109.0,119.0,NaN
101.0,91.0,152.0,145.0,NaN
91.0,81.0,124.0,126.0,NaN
81.0,71.0,152.0,177.0,NaN
71.0,61.0,222.0,231.0,NaN
61.0,51.0,241.0,245.0,NaN
51.0,41.0,227.0,238.0,NaN
41.0,31.0,251.0,256.0,NaN
31.0,21.0,250.0,242.0,NaN
21.0,11.0,297.0,264.0,NaN
