# Location,CB
# Site,O4
# PitID,2
# Date/Local Time,2020-05-13T09:00
# UTM Zone,13N
# Easting (m),328465
# Northing (m),4310444
# Latitude (deg),38.92616
# Longitude (deg),-106.97882
# Slope (deg),5
# Aspect (deg),143
# Air Temp (deg C),9
# Total Depth (cm),40
# Surveyors,IH
# Weather,nan
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Light
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,20
# Tree Canopy,No Trees
# Comments:,"Elev: 10,316"
