# Location,Grand Mesa
# Site,County Line Open
# PitID,COGMCO
# Date/Local Time,2020-03-04T09:21
# UTM Zone,12N
# Easting (m),756903
# Northing (m),4324357
# Latitude (deg),39.03053
# Longitude (deg),-108.03217
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-0.6
# Total Depth (cm),101
# Surveyors,J. Parno
# WISe Serial No,WIS009A
# Weather,IB: Did not get interval board measurements. Evidence of melt is required field and so chose 'No' based on memory but not certain.
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,
