# Location,Boise River Basin
# Site,Banner Snotel
# PitID,IDBRBS
# Date/Local Time,2020-02-19T10:45
# UTM Zone,11N
# Easting,640819
# Northing,4907111
# Latitude,44.30361
# Longitude,-115.23456
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
140.0,130.0,105.5,1.125,1.135,0.0,0.0
130.0,120.0,159.5,1.261,1.247,0.22375296517600377,0.15300359432295088
120.0,110.0,192.5,1.249,1.275,0.0,0.03645398250289082
110.0,100.0,235.5,1.33,1.358,0.0,0.10394930250805152
100.0,90.0,261.5,1.395,1.395,0.06871330420134594,0.06871330420134594
90.0,80.0,274.0,1.398,1.389,0.0,0.0
80.0,70.0,305.5,1.449,1.458,0.0,0.0
70.0,60.0,339.0,1.505,1.524,0.0,0.018292982531639208
60.0,50.0,354.0,1.565,1.549,0.08404059488585609,0.0015790612592386708
50.0,40.0,363.5,1.615,1.616,0.24856704986267478,0.25372477082093514
40.0,30.0,350.5,1.569,1.587,0.1387772611068416,0.23150024725840473
30.0,20.0,345.0,1.503,1.592,0.0,0.31050189199822015
20.0,10.0,338.0,1.564,1.542,0.23370245036527545,0.12051668281480603
10.0,0.0,NaN,1.517,1.511,NaN,NaN
