# Location,CB
# Site,Trench13NorthEdge
# PitID,1
# Date/Local Time,2020-02-02T00:00
# UTM Zone,13N
# Easting,328570
# Northing,4310779
# Latitude,38.9292
# Longitude,-106.9777
# Depth (cm),Temperature (deg C)
77.0,-2.2
70.0,-5.0
60.0,-5.1
50.0,-4.4
40.0,-3.6
30.0,-3.2
20.0,-2.4
10.0,-1.9
0.0,-0.5
